species,mass_g,length_cm,role,notes,link
Detritus,,0.0001,2,,
Autothroph_flagellat,,1,1,,"https://academic.oup.com/plankt/article/28/4/345/1569658#:~:text=Heterotrophic%20flagellates%20%3C5%20%C2%B5m%20were,9%20and%2012%20%C2%B5m%2C%20respectively."
Bacteria_indet,,0.0005,2,,https://en.wikipedia.org/wiki/Bacteria
Diatom,,0.01,2,Diatoms; 100 micrometers,https://en.wikipedia.org/wiki/Diatom#:~:text=Diatoms%20are%202%20to%20200%20micrometers%20in%20length.
Heterotroph_flagellat,,0.00035,2,,"https://academic.oup.com/plankt/article/28/4/345/1569658#:~:text=Heterotrophic%20flagellates%20%3C5%20%C2%B5m%20were,9%20and%2012%20%C2%B5m%2C%20respectively."
Ice_algae,,1,1,,
Macroalgae,,1,1,,
Mixotroph_flagellates,,0.00035,2,,"https://academic.oup.com/plankt/article/28/4/345/1569658#:~:text=Heterotrophic%20flagellates%20%3C5%20%C2%B5m%20were,9%20and%2012%20%C2%B5m%2C%20respectively."
Phytoplankton_indet,,1,1,,
Protozooplankton,,0.5,2,,"http://lakes.chebucto.org/plankton.html#:~:text=Most%20are%20between%20200%2D400,mm)%20or%20about%200.2%20inches."
Aglantha_digitale,,4,2,hydrozoan,https://en.wikipedia.org/wiki/Aglantha_digitale
Apherusa_glacialis,,1.4,2,amphipod,http://www.arcodiv.org/seaice/amphipods/Apherusa_glacialis.html
Bolinopsis_infundibulum,,15,2,comb jelly,https://en.wikipedia.org/wiki/Bolinopsis_infundibulum
Calanus_finmarchicus,,0.3,2,copepod,https://en.wikipedia.org/wiki/Calanus_finmarchicus
Calanus_glacialis,,0.4,2,copepod,https://en.wikipedia.org/wiki/Calanus_glacialis
Calanus_hyperboreus,,0.56,2,copepod,https://en.wikipedia.org/wiki/Calanus_hyperboreus
Clione_limacina,,8,2,sea slug,https://en.wikipedia.org/wiki/Clione_limacina
Cyanea_capillata,,50,2,jelly; bell diameter; low lat,https://en.wikipedia.org/wiki/Lion%27s_mane_jellyfish
Dimophyes_arctica,,1.5,2,nectophore height,http://species-identification.org/species.php?species_group=zmns&id=134
Eukrohnia_hamata,,4.3,2,,"https://inverts.wallawalla.edu/Chaetognatha/Eukrohnia_hamata.html#:~:text=Length%20up%20to%204.3%20cm,Geographical%20Range%3A%20Cosmopolitan."
Euphysa_flammea,,1.5,2,medusa height,https://www.researchgate.net/publication/229439705_The_European_athecate_hydroids_and_their_medusae_Hydrozoa_Cnidaria_Capitata_Part_2/download
Fritillaria_borealis,,0.13,2,trunk length,http://species-identification.org/species.php?species_group=zmns&id=573
Gammarus_wilkitzkii,,6,2,amphipod,http://www.arcodiv.org/seaice/amphipods/Gammarus_wilkitzkii.html
Limacina_helicina,,0.5,2,mollusk,https://en.wikipedia.org/wiki/Limacina_helicina
Mertensia_ovum,,10,2,comb jelly,https://en.wikipedia.org/wiki/Mertensia_ovum
Metridia_longa,,0.43,2,copepod,https://en.wikipedia.org/wiki/Metridia_longa
