"GOA/AI Alaskaskate  prey",%,"GOA Beringskate prey",%,"GOA Aleutianskate  prey",%,"GOA otherskates prey",%,"Longnoseskate prey",%,"GOA/AI Bigskate prey",%
Misc. shallow fish,3.9,"Large sculpinsOther sculpinsMisc. shallow fish",,"BathylagidaeMyctophidaeCapelinSandlanceEulachonManaged ForageOth pel. smelt",,"GreenlingsCapelinSandlanceEulachonManaged ForageOth pel. smelt",,"Non-Pandalidshrimp",2.1,Octopus,0.5
Bathylagidae,3.9,,Bivalves,0.4,,,,,,,
"Non-Pandalidshrimp",3.9,Hermit crabs,0.2,Misc. Crustacean,0.2,,,,,,
Hermit crabs,3.9,,"Benthicamphipods",0.1,,,,,,,
"",Tanner crabs,8.8,Pandalid shrimp,9.8,Misc. crabs,0.1,,,,,
Other sculpins,7.7,Tanner crabs,4.3,,,,,,,,
Benthic amphipods,6.5,Atka mackerel,3.5,,,,,,,,
Misc. shallow fish,5.4,Hermit crabs,3.0,,,,,,,,
Octopus,4.7,Octopus,2.9,,,,,,,,
Atka mackerel,4.3,Polychaetes,2.7,,,,,,,,
W. pollock,3.0,Benthic detritus,2.7,,,,,,,,
Misc. worm etc.,2.5,"Misc. worm, etc.",1.8,,,,,,,,
Benthic detritus,2.5,Other sculpins,1.5,,,,,,,,
Large sculpins,1.3,Myctophidae,1.1,,,,,,,,
Eelpouts,0.8,W. pollock,0.9,,,,,,,,
Bering skate,0.4,Bathylagidae,0.8,,,,,,,,
"Non-Pandalidshrimp",0.4,"Non-Pandalidshrimp",0.7,,,,,,,,
Hermit crabs,0.4,Mysids,0.4,,,,,,,,
Polychaetes,0.4,Misc. shallow fish,0.3,,,,,,,,
"",Shortraker rf.,0.2,,,,,,,,,
Misc. Crustacean,0.2,,,,,,,,,,
Other Macrourids,0.1,,,,,,,,,,
Large sculpins,0.1,,,,,,,,,,
King crabs,0.1,,,,,,,,,,
Bivalves,0.1,,,,,,,,,,
