GOA/AI Alaska  skate  prey,,%,GOA Bering  skate prey,,%,GOA Aleutian  skate  prey,,%,GOA other  skates prey,,%,Longnose  skate prey,,%,GOA/AI Big  skate prey,,%
Benthic amphipods,,16.8,Benthic amphipods,,80.5,Pandalid shrimp,,26.4,Squids,,26.5,W. pollock juv,,,Non-Pandalid shrimp,,44.1
"",,,,,,,,,,,,P. cod,,,,,
Atka mackerel,,12.2,Misc. worms etc.,,10.5,Squids,,14.6,Benthic amphipods,,25.7,P. cod juv,,,Arrowtooth fl.,,
Octopus,,12.2,Pandalid shrimp,,2.8,W. pollock juv,,9.8P,W. pollock juv,,10.4P,Herring,,,Arrowtooth juv,,
"",,,,,,P. cod,,,P. cod,,,,,,,,
Squids,,11.8,Squids,,1.7,P. cod juv,,,P. cod juv,,,Herring juv Sablefish juv,,,Halibut Halibut juv,,
P. cod,,,Non-Pand. shrimp,,1.1,Herring,,,Herring,,,Eelpouts,,,Yellowfin sole,,
P. cod juv,,,Misc. Crustacean,,0.9,Herring juv,,,Herring juv,,,Atka mackerel,,,Flathead sole,,17.4P
Herring,,,,,,Arrowtooth fl.,,,Arrowtooth fl.,,,Atka mack. juv,,,Flathead sole juv,,
Herring juv,,,Polychaetes,,0.9,Arrowtooth juv,,,Arrowtooth juv,,,Greenlings,,,N rock sole,,
Arrowtooth fl.,,,Benthic detritus,,0.9,Halibut,,,Halibut,,,Large sculpins,,,S rock sole,,
Arrowtooth juv,,,,,,Halibut juv,,,Halibut juv,,,Other sculpins,,47.5P,AK plaice,,
Halibut,,,Brittle star,,0.3,Yellowfin sole,,,Yellowfin sole,,,Misc. shallow fish,,,Misc. flatfish,,
Halibut juv,,,W. pollock,,0.2P,Flathead sole,,,Flathead sole,,,Salmon returning,,,Sand lance,,12.1
Yellowfin sole,,,W. pollock juv,,,Flathead sole juv,,,Flathead sole juv,,,Salmon outgoing,,,,,
Flathead sole,,,P. cod,,,N rock sole,,,N rock sole,,,Bathylagidae,,,W. pollock juv,,
Flathead sole juv,,,P. cod juv,,,S rock sole,,,S rock sole,,,Myctophidae,,,P. cod,,
N rock sole,,,Herring,,,AK plaice,,,AK plaice,,,Capelin,,,P. cod juv,,
S rock sole,,7.9P,Herring juv,,,Dover sole,,,Dover sole,,,Sandlance,,,Herring,,
AK plaice,,,Arrowtooth fl.,,,Rex sole,,,Rex sole,,,Eulachon,,,Herring juv,,
Dover sole,,,Arrowtooth juv,,,Misc. flatfish,,,Misc. flatfish,,,Managed Forage,,,Sablefish juv,,
Rex sole,,,Halibut,,,Sablefish,,,Sablefish,,,Oth pel. smelt,,,Atka mack. juv,,
Misc. flatfish,,,Halibut juv,,,Sablefish juv,,,Sablefish juv,,,,,,Greenlings,,11.8P
Sablefish juv,,,Yellowfin sole,,,Misc. shallow fish,,,Misc. shallow fish,,,Rex sole,,25.4,Large sculpins,,
Eelpouts,,,Flathead sole,,,Pacific o. perch,,,Eelpouts,,,,,,Other sculpins,,
Greenlings,,,Flathead sole juv,,,Pacific o. perch,,,Giant grenadier,,,Arrowtooth fl.,,,Salmon returning,,
Capelin,,,N rock sole,,,juv,,,Pacific grenadier,,,Arrowtooth juv,,,Salmon outgoing,,
Sand lance,,,S rock sole,,,Sharpchin rf.,,,Pacific o. perch,,,Halibut,,,Capelin,,
Eulachon,,,AK plaice,,,Northern rockfish,,,Pacific o. perch juv,,,Halibut juv,,,Eulachon,,
Managed forage,,,Dover sole,,,Dusky rockfish,,,Sharpchin rf.,,,Yellowfin sole,,,Managed Forage,,
Oth. pelagic smelt Other sculpins,,7.9,Rex sole Misc. flatfish Sablefish juv,,,Shortraker rf. Sh. thornyhead Rougheye rf.,,,Northern rockfish Dusky rockfish Rougheye rf.,,,Flathead sole Flathead sole juv N rock sole,,25.0P,Oth pel. smelt Eelpouts,,10.0
Tanner crabs,,7.9,Eelpouts,,,Sh. thornyhead juv,,,Sh. thornyhead,,,S rock sole,,,Benthic detritus,,1.3
W. pollock,,,Atka mackerel,,,Other Sebastes,,,Sh. thornyhead juv,,,AK plaice,,,,,
W. pollock juv,,3.9P,Atka mack. juv,,,Atka mack. juv,,,Other Sebastes,,,Dover sole,,,Mysid,,1.0
Large sculpins,,3.9,Greenlings,,,Greenlings,,,Atka mack. juv,,,Misc. flatfish,,,Misc. shallow fish,,0.9
