"",AI W. GOA P. pollock,GOA W. AI W. AI P. cod,EBS W.,EBS W.,EBS P.,EBS P.,,GOA W.,GOA P.,
"",,pollockjuv,,,,,,,,
"",,,AI P. cod  pollock,,,,,,,
Prey,,,,pollock,cod juv,cod,,,,
"",,,,,,,pollock,,,
"",juv,,juv,,,,juv,pollock,cod juv,cod
W. pollock juv,,0.13%,0.00% 0.98%,4.41%,0.67%,2.87%,1.65%,0.94%,0.21%,0.94%
W. pollock,,0.40%,4.23%,8.51%,,25.93%,,0.81%,,18.79%
P. cod juv,,,0.12%,0.03%,,0.04%,,0.00%,,
P. cod,,,0.10%,0.07%,,0.54%,,0.00%,,0.01%
Herring juv,,0.02%,0.02%,0.00%,,0.18%,,,,0.05%
Herring,,0.00%,,0.09%,,0.04%,,0.02%,,
Arrowtooth juv,,,0.01%,,,0.00%,0.18%,0.05%,,0.01%
Arrowtooth fl.,,,,0.08%,,0.07%,,0.01%,,1.34%
Kamchatka fl.,,,0.00%,0.00%,,0.01%,,,,
Gr. turbot juv,,,0.01%,0.01%,,0.01%,,,,
Gr. Turbot,,,,0.03%,,0.00%,,,,
P. halibut juv,,,,0.00%,,0.01%,,,,0.00%
P. halibut,,,,0.00%,,0.09%,,,,0.00%
Yellowfin sole juv,,,,,,0.02%,,,,
Yellowfin sole,,,,0.00%,,0.76%,,,,
Flathead sole juv,,,,0.00%,,0.06%,,0.04%,,0.23%
Flathead sole,,,0.04%,0.02%,,0.29%,,0.01%,,0.51%
N. rock sole juv,,,,0.00%,,0.02%,,,,
N. rock sole,,,,0.00%,,1.33%,,,,
Alaska plaice,,,,0.00%,,0.01%,,,,
Dover sole,,,,,,,,0.08%,,
Rex sole,,,0.25%,,,,,,,0.01%
Misc. flatfish,,,,0.00%,,0.13%,,,,0.00%
Alaska skate,,,,,,0.00%,,,,
Sablefish juv,,,0.21%,,,,,,,
Eelpouts,,,1.39%,0.07%,0.01%,4.00%,,0.05%,,0.99%
Other Macrourids,,,0.03%,,,,,,,0.00%
Misc. deep fish,,0.89%,0.18%,0.00%,,,,0.00%,,
Pacific ocean perch juv,,,0.24%,,,0.01%,,,,
Pacific ocean perch,,,,,,,,,,0.00%
Shortspine thornyhead,,,,,,,,,,0.00%
Other Sebastes,,,,,,0.00%,,,,
Atka mackerel juv,,2.17%,0.01%,,,,,,,
Atka mackerel,,1.34%,15.27%,,,0.20%,,,,0.06%
Greenlings,,,0.05%,,,0.00%,,,,
Large sculpins,,,0.00%,0.00%,,0.15%,,,,
Other sculpins,3.44%,0.06% 0.15%,14.93% 0.00%,0.05%,0.97%,1.07%,,0.04%,3.59%,3.27%
Misc. shallow fish,,0.02%,1.53% 0.00%,0.01%,0.03%,0.41%,,0.11%,,0.44%
Octopus,,0.02%,1.05%,0.00%,,0.65%,,0.10%,,2.31%
Squids,,2.63%,6.10% 0.03%,0.25%,,0.09%,,0.64%,,0.52%
Salmon returning,,,,,,0.17%,,,,
Bathylagidae,,0.57%,0.09%,0.10%,,0.00%,,0.00%,,
Myctophidae,0.05%,24.30%,3.90% 0.09%,0.25%,,0.00%,,0.03%,,0.04%
Capelin,,,0.01% 0.04%,0.08%,0.00%,0.42%,,4.41%,,3.53%
Sand lance,,0.00%,0.61% 0.14%,0.17%,0.58%,2.39%,,1.20%,2.32%,1.26%
Eulachon,,,,0.00%,,0.01%,,0.38%,,0.18%
Managed forage,,0.00%,1.48%,0.06%,0.33%,0.75%,,0.53%,0.05%,1.01%
Oth pel. smelt,,,,0.00%,,,,,,
Tanner crab*,0.10%,0.02% 1.72%,2.21%,0.01%,0.00%,1.62%,0.02%,0.04%,0.41%,8.66%
Tanner crab adu,,,,0.00%,,3.19%,,,,
King crab*,,0.00%,0.02% 0.00%,0.00%,0.02%,0.02%,,,,0.00%
King crab adu,,,,0.00%,,0.96%,,,,
Snow crab*,,,0.00%,0.00%,0.13%,1.87%,,,,
Snow crab adu,,,,0.00%,,5.52%,,,,
Pandalid shrimp,0.06%,2.68% 4.07%,11.65% 0.05%,3.58%,1.00%,5.30%,0.60%,10.29%,0.07%,9.64%
Non-Pandalid shrimp,9.81%,1.43% 33.10%,16.66% 0.49%,1.50%,17.66%,7.61%,6.83%,8.09%,16.63%,10.18%
Sea star,,0.00%,0.00%,0.00%,,0.02%,,0.21%,,0.22%
Brittle star,,0.00%,0.01% 0.00%,0.01%,0.01%,0.02%,,,,0.03%
Urchins dollars and,,,0.01%,0.00%,,0.01%,,0.00%,,0.00%
Snails,,0.08%,0.41%,0.03%,0.00%,0.60%,,0.01%,,0.46%
Hermit crabs,0.29%,0.04% 0.56%,0.44% 0.04%,0.10%,0.72%,7.03%,8.66%,1.06%,6.37%,10.10%
Misc crabs,,0.00%,3.24% 0.00%,0.03%,0.02%,1.41%,0.15%,0.07%,0.11%,4.98%
Misc. Crustacean,0.15%,0.20%,0.18% 1.63%,0.11%,0.71%,0.06%,0.06%,0.10%,0.42%,0.40%
Benthic amphipods,10.85%,7.53% 19.44%,2.92% 5.70%,2.05%,39.21%,2.82%,5.69%,5.99%,45.28%,2.53%
Benth. Hydroid,,,,,,0.00%,,,,
Benth. Urochordata,,,0.01%,0.00%,,0.07%,,,,0.00%
Sponge,,0.00%,0.00%,0.01%,,0.01%,,,,0.00%
Bivalves,,0.00%,0.04% 0.05%,0.05%,0.00%,0.21%,,0.02%,,0.24%
Polychates,0.00%,0.33% 18.58%,4.59% 0.61%,0.21%,4.11%,3.59%,0.14%,0.56%,1.60%,6.33%
Misc. worm etc.,,0.00%,0.01% 0.00%,0.22%,0.20%,3.44%,,0.01%,0.05%,0.38%
Scyphozoid jellies,,,0.00%,0.00%,,0.00%,,0.00%,,
Fish larvae,,,0.04%,0.00%,,0.00%,,,,0.00%
Chaetognaths etc.,3.23%,1.68%,0.00% 4.84%,0.98%,,0.00%,0.25%,0.03%,,0.00%
Euphausiids,12.45%,28.58%,0.16% 32.90%,34.96%,3.31%,2.19%,44.60%,50.03%,5.10%,4.33%
Mysids,8.95%,2.01% 0.06%,0.22% 9.38%,1.18%,29.68%,2.46%,1.00%,2.38%,17.78%,0.05%
Pelagic amphipods,0.00%,0.13%,0.00% 0.52%,1.59%,0.02%,0.01%,0.29%,0.52%,0.01%,0.00%
Pel. gel. filter feeder,11.49%,2.84% 17.28%,0.00% 0.58%,1.45%,,0.00%,3.51%,5.52%,,0.04%
Pteropods,0.03%,0.14%,0.00%,0.06%,0.00%,0.00%,0.00%,0.16%,,0.00%
Copepods,39.11%,18.86% 5.04%,0.13% 41.92%,36.42%,0.61%,0.01%,26.38%,5.36%,0.00%,0.01%
Microzooplankton,,,,0.00%,0.00%,0.00%,,,,
Algae,,,,,,0.00%,,,,0.00%
Offal,,0.89%,5.16%,1.13%,0.00%,7.25%,,0.08%,,3.19%
Benth detritus,,,,,,,,,,2.73%
