"",AI,,,,
"",AI,,,,
"",,EBS,,,
"",,,EBS,,
"",,,,GOA,
"",GOA Herring,Herring,,,
Prey,juv Herring,juv,Herring,,
"",,,,Herring,
"",,,,juv,
"",,,,,Herring
Pandalid shrimp,0.00%,,,,
Non-Pandalid shrimp,,,,,
Sea star,,,,,
Brittle star,,,,,
Urchins dollars and,,,,,
Snails,,,,,
Hermit crabs,,,,,
Misc crabs,,,,,
Misc. Crustacean,,,,,
Benthic amphipods,0.00%,,0.00%,,0.00%
Benth. Hydroid,,,,,
Benth. Urochordata,,,,,
Sponge,,,,,
Bivalves,,,,,
Polychates,0.04%,,0.04%,,0.04%
Misc. worm etc.,,,,,
Scyphozoid jellies,,,,,
Fish larvae,,,,,
Chaetognaths etc.,,,,,
Euphausiids,87.86% 95.66%,87.86%,95.66%,87.86%,95.66%
Mysids,,,,,
Pelagic amphipods,0.04%,,0.04%,,0.04%
Pel. gel. filter feeder,,,,,
Pteropods,,,,,
Copepods,12.14% 4.25%,12.14%,4.25%,12.14%,4.25%
