"",AI Arrow.,AI Arrow.,AI P.,AI P.,EBS,EBS,EBS P.,EBS P.,GOA,GOA,GOA P.,GOA P.
Prey,juv,fl.,halibut juv,halibut,Arrow. juv,Arrow. fl.,halibut juv,halibut,Arrow. juv,Arrow. fl.,halibut juv,halibut
W. pollock juv,0.64%,9.94%,,0.31%,21.85%,46.91%,,1.90%,0.38%,10.11%,,0.14%
W. pollock,,1.43%,,9.08%,,19.48%,,52.10%,,13.92%,,48.26%
P. cod juv,,0.16%,,,,0.00%,,0.00%,,0.61%,,
P. cod,,,,0.68%,,0.00%,,4.74%,,0.01%,,1.36%
Herring juv,,,,,,,,,,6.59%,,
Herring,,0.18%,,,,1.34%,,0.26%,,0.79%,,0.73%
Arrowtooth juv,,,,,,0.34%,,,,0.30%,,0.23%
Arrowtooth fl.,,,,,,0.00%,,0.09%,,0.37%,,3.46%
Kamchatka juv,,,,0.14%,,0.00%,,,,,,
P. halibut juv,4.63%,,,0.00%,0.06%,,,0.00%,,0.00%,,0.00%
P. halibut,,,,,,,,0.00%,,,,0.00%
Yellowfin sole juv,,,,,,,,,,0.00%,,0.00%
Yellowfin sole,,,,,,0.03%,,3.31%,,,,
Flathead sole juv,,,,,0.13%,1.13%,,0.05%,,0.21%,,0.05%
Flathead sole,,,,0.29%,,0.02%,,1.08%,,0.02%,,0.43%
N. rock sole juv,,,,,0.00%,0.00%,,0.01%,,,,
N. rock sole,,,,,,0.00%,,3.24%,,,,
S. rock sole,,,,,,,,,0.00%,,,0.01%
Alaska plaice,,,,,,,,0.49%,,,,
Dover sole,,,,,,,,,,,,0.30%
Rex sole,,,,,,,,0.10%,,0.06%,,
Misc. flatfish,,,,,,,,2.68%,,,,0.00%
Alaska skate,,,,,,,,0.00%,,,,
Bering skate,,,,,,,,0.01%,,,,
Sablefish juv,,,,,,,,,,0.08%,,
Sablefish,,1.10%,,1.69%,,,,0.10%,,,,0.26%
Eelpouts,,,,0.07%,0.04%,4.29%,,0.93%,0.05%,2.22%,,0.74%
Other Macrourids,,,,,,0.00%,,,,,,
Misc. deep fish,,0.05%,,0.05%,,,,,,0.00%,,
Pacific ocean perch,,,,,,,,,,,,0.21%
Shortspine thornyhead,,,,,,,,,,0.01%,,
Atka mackerel juv,,16.40%,,0.39%,,,,,0.24%,1.11%,,
Atka mackerel,,3.82%,,15.60%,,0.04%,,0.49%,,0.63%,,1.58%
Greenlings,,,,,,,,0.04%,,,,
Large sculpins,,,3.53%,0.05%,,,,0.17%,,0.00%,1.06%,0.15%
Other sculpins,3.20%,4.15%,4.09%,4.80%,2.62%,0.86%,,2.24%,0.06%,0.37%,1.92%,0.57%
Misc. shallow fish,11.81%,3.26%,3.26%,1.82%,0.19%,0.00%,,1.55%,,0.57%,0.02%,0.22%
Octopus,,0.00%,7.53%,10.70%,,0.01%,,0.47%,,0.00%,0.00%,2.85%
Squids,,0.53%,,22.28%,,0.88%,,0.32%,,0.30%,,0.23%
Salmon returning,,,,,,,,,,2.18%,,0.32%
Bathylagidae,,,,0.64%,,,,,,0.01%,,
Myctophidae,4.38%,26.59%,,2.08%,,0.34%,,0.01%,0.01%,0.17%,,
Capelin,4.12%,0.61%,,0.11%,,1.20%,,3.86%,23.70%,21.93%,,1.83%
Sand lance,,,20.01%,2.32%,,0.04%,,3.44%,7.20%,3.67%,0.09%,2.12%
Eulachon,,,,,,2.12%,,0.00%,,2.10%,,0.00%
Managed forage,,3.28%,,0.02%,0.42%,0.59%,,0.26%,0.13%,2.61%,,0.16%
Oth pel. smelt,,,,0.00%,,,,,,,,
Tanner crab*,,,,3.05%,,,,1.27%,,0.00%,,6.36%
Tanner crab adu,,,,,,,,1.33%,,,,
King crab*,,,,0.32%,,,,0.01%,,,,0.01%
King crab adu,,,,,,,,0.18%,,,,
Snow crab*,,,,,,0.00%,,0.17%,,,,
Snow crab adu,,,,,,,,3.23%,,,,
Pandalid shrimp,36.71%,15.55%,20.19%,0.28%,5.43%,3.87%,,0.96%,6.54%,9.82%,9.48%,0.64%
Non-Pandalid shrimp,8.56%,3.01%,7.21%,1.63%,41.88%,2.21%,69.30%,0.46%,2.23%,1.74%,30.38%,0.36%
Sea star,,,,,,,,0.00%,,,,0.00%
Brittle star,,,,,0.00%,0.01%,,0.01%,,0.00%,,0.01%
Urchins dollars and cucumbers,,,,0.42%,,,,0.00%,,,,0.12%
Snails,,,,0.05%,0.02%,0.00%,,0.24%,,0.00%,,0.24%
Hermit crabs,,,6.72%,3.07%,0.55%,0.02%,0.04%,4.66%,,0.00%,31.53%,10.34%
Misc crabs,,0.05%,18.04%,11.47%,,,,0.74%,,0.01%,8.41%,12.23%
Misc. Crustacean,,0.03%,,0.02%,,0.00%,,0.02%,0.01%,0.01%,,0.04%
Benthic amphipods,12.21%,2.24%,3.36%,0.20%,0.19%,0.10%,0.00%,0.01%,0.17%,0.05%,15.76%,0.00%
Benth. Hydroid,,,,,,0.00%,,,,,,
Benth. Urochordata,,0.75%,,0.00%,,0.00%,,0.00%,,,,0.00%
Sponge,,0.00%,,0.00%,,0.00%,,,,0.00%,,0.00%
Bivalves,,,,1.14%,,0.02%,,0.37%,,0.02%,,0.18%
Polychates,3.09%,0.74%,,0.01%,0.02%,0.09%,0.01%,0.01%,0.12%,0.23%,,0.14%
Misc. worm etc.,,,,0.00%,,,,0.19%,,0.07%,,0.00%
Scyphozoid jellies,,,,,,0.00%,,,,,,
Fish larvae,,,,,,0.02%,,0.01%,,,,
Chaetognaths etc.,0.82%,,,,0.00%,0.00%,,,,0.00%,,
Euphausiids,9.32%,3.81%,3.54%,,24.59%,9.17%,,0.34%,59.15%,16.86%,0.17%,0.52%
Mysids,0.26%,1.65%,2.52%,,1.96%,0.10%,30.65%,0.09%,0.01%,0.06%,1.18%,0.00%
Pelagic amphipods,,,,,0.00%,0.00%,,,0.00%,0.00%,,0.00%
Pel. gel. filter feeder,,0.01%,,,,0.01%,,,,0.00%,,0.00%
Pteropods,0.02%,,,,,0.00%,,,0.02%,0.00%,,
Copepods,0.22%,0.03%,,,0.03%,0.00%,,,0.00%,0.01%,,
Algae,,,,,,,,0.00%,,0.00%,,0.00%
Offal,,0.64%,,5.22%,,4.75%,,1.74%,,0.15%,,2.55%
