"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI GOA S. Prey Yellowfin rock sole sole juv,,AI Yellowfin sole,,,AI Flathead sole juv,,,AI Flathead sole,,,GOA AI N. rock Alaska sole AI S. rock sole,,AI Alaska plaice,,EBS Yellowfin sole juv,,EBS Yellowfin sole,,,EBS Flathead sole juv,,,EBS Flathead sole,,,EBS N. rock sole juv,,,EBS N. rock sole,,EBS Alaska plaice,,,GOA Yellowfin sole,,,GOA Flathead sole juv,,,GOA Flathead sole,,,,GOA N. rock sole,,,,plaice
W. pollock juv,,6.02%,,,,,,,,,,,,,,,1.00%,,,0.05%,,,16.77%,,,,,,0.09%,,,,,,,,,,,0.37%,,,,,,0.50%,,
P. cod juv,,1.26%,,,,,,,,,3.22%,,,,,,0.00%,,,0.00%,,,0.01%,,,,,,,,,,,,,,,,,,,,,,,0.41%,,
Herring juv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18%,,,,,,,,,,,,,,,,,,,
Arrowtooth juv,,0.00%,,,,,,,,,,,,,,,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gr. turbot juv,,2.67%,,,,,,,,,,,,,,,0.00%,,,,,,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,
P. halibut juv,,0.91%,,,,,,,,,8.35%,,,,,,0.02%,,,,,,,,,,,,,,0.01%,,,,,,,,,,,,,,,0.01%,,0.01%
Flathead sole juv,,0.00%,,,,,,,,,,,,,,,0.00%,,,,,,0.16%,,,,,,,,,,,,,,,,,,,,,,,,,
N. rock sole juv,,,,,,,,,,,,,,,0.00%,,0.04%,,,,,,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska plaice,,2.13%,,,,,,,,,,,,,,,0.04%,,,,,,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,
Misc. flatfish,,0.75%,,,,,,,,,,,,,,,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eelpouts,,4.90%,,,,,,,,,,,3.50%,,,,0.01%,,,0.35%,,,0.19%,,,,,,0.07%,,0.00%,,,,,,,,,0.40%,,,,,,,,0.00%
Large sculpins,,3.89%,,,,,,,,,,,,,,,0.01%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other sculpins,,1.15%,,,,,,,,,7.34% 7.00%,,,,,,0.19%,,,0.82%,,,0.06%,,,0.09%,,,0.00%,,,,,,,,,,,0.84%,,,,0.01%,,0.33%,,
Misc. shallow fish 2.78%,,1.64%,,,,,,,,,1.80%,,,,0.00%,,0.00%,,,,,,0.51%,,,,,,,,,,,,,,,,,,,,,,,0.02%,,
Octopus,,0.73%,,,,,,,,,,,,,,,0.01%,,,,,,0.02%,,,,,,,,,,,,,,,,,,,,,,,,,
Squids,,,,,,,,,,,,,,,,,,,,0.29%,,,0.00%,,,,,,0.00%,,,,,,,,,,,,,,,,,,,
Bathylagidae,,,,,,,,,,,,,,,,,,,,,,,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,
Myctophidae,,,,,,,,,,,,,,,,,,,,,,,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,
Capelin,,0.00%,,,,,,,,,0.02%,,,,,,0.00%,,,,,,0.10%,,,,,,,,,,,,,,,,,,,,,,,,,
Sand lance 11.40%,,4.03%,,,,,,,,,3.81% 9.63%,,6.55%,,0.20%,,0.63%,,,,,,0.35%,,,,,,14.14%,,0.74%,,,,,,,,,,,,,0.65%,,1.15%,,0.74%
Eulachon,,,,,,,,,,,,,0.00%,,,,,,,,,,,,,,,,,,0.01%,,,,,,,,,,,,,,,,,0.01%
Managed forage,,6.20%,,,,,,,,,3.97%,,,,,,0.10%,,,,,,0.79%,,,,,,0.06%,,,,,,,,,,,0.00%,,,,,,0.05%,,
Oth pel. smelt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tanner crab*,,,,,,,,,,,7.34% 5.27%,,,,0. 00%,,0.28%,,,0.00%,,,0.74%,,,,,,0.00%,,,,,0.05%,,,2.53%,,,1.88%,,,,0.01%,,0.48%,,0.60%
