"",,,,,,,,,,,,,,
GOA Misc. Prey AI Dover AI Rex sole sole,,AI Misc. flatfish,,EBS Dover sole,,EBS Rex sole,,EBS Misc. flatfish,,GOA Dover sole,,GOA Rex sole,,flatfish
W. pollock juv,,,,,,,,3.18%,,,,,,
P. cod juv,,,,,,,,0.03%,,,,,,
Eelpouts,,,,,,,,4.20%,,,,,,
Misc. shallow fish,,,,,,,,,,,,0.51%,,
Octopus,,23.16%,,,,,,0.01%,,,,,,0.07%
Capelin,,,,,,,,4.55%,,,,,,
Managed forage,,,,,,,,0.82%,,,,,,
Oth pel. smelt,,,,,,,,,,,,,,
Tanner crab*,,,,1.54%,,,,0.63%,,0.30%,,0.10%,,
Snow crab*,,,,,,,,0.00%,,,,,,
Pandalid shrimp,,,,22.24%,,,,9.60%,,,,1.87%,,
Non-Pandalid shrimp,6.60%,,,26.47%,,54.55%,,10.02%,,1.36%,,2.51%,,
Sea star,,,,,,,,,,0.30%,,,,
Brittle star 5.82%,,23.04%,,1.03%,,,,6.00%,,32.02%,,1.10%,,6.70%
Urchins dollars and cucumbers,,,,,,,,0.02%,,8.94%,,,,
Snails,,5.00%,,,,,,0.04%,,,,0.37%,,0.15%
Hermit crabs,,,,,,,,0.11%,,0.00%,,0.01%,,
Misc crabs,,,,,,,,,,2.26%,,0.76%,,
Misc. Crustacean,,31.92%,,0.19%,,,,0.47%,,0.12%,,1.13%,,92.80%
Benthic amphipods 41.29%,,7.56%,,8.92%,,11.80%,,6.40%,,1.18%,,3.17%,,0.02%
Benth. Hydroid,,,,,,,,0.00%,,,,,,
Bivalves,,,,1.05%,,0.01%,,7.01%,,1.48%,,0.04%,,
Polychates 43.31%,37.05%,9.33%,,28.17%,,20.45%,,24.43%,,30.54%,,51.80%,,0.27%
Misc. worm etc. 9.57%,31.02%,,,5.45%,,3.31%,,2.00%,,14.96%,,7.21%,,
Euphausiids,25.33%,,,3.52%,,9.88%,,0.12%,,6.53%,,27.72%,,
Mysids,,,,0.24%,,,,19.52%,,,,0.01%,,
Pelagic amphipods,,,,1.18%,,,,0.51%,,,,,,
Pteropods,,,,,,,,,,,,0.00%,,
Copepods,,,,,,,,0.35%,,,,1.68%,,
Offal,,,,,,,,6.50%,,,,,,
