GOA Misc. Prey GOA AI Sablefish Sablefish juv AI Sablefish,AI Eelpouts,AI Macrourids,AI Misc. deep fish,,EBS Sablefish deep fish juv,,EBS Sablefish,,EBS Eelpouts,,EBS Macrourids,,EBS Misc. deep fish,,juv,,,GOA Sablefish,,GOA Eelpouts,,GOA Macrourids,,
W. pollock juv 0.45%,0.00%,,,,,,,,0.00%,,,,,,0.26%,,,2.00%,,0.00%,,,,
W. pollock4.85%,0.39%,,,,,,45.92%,,0.39%,,,,,,,,,18.85%,,0.39%,,,,
P. cod juv,,,,,,,,,,,,,,,,,,0.47%,,,,,,
Herring juv,,,,,,,,,,,,,,,,,,3.56%,,,,,,
Herring,0.07%,,,,,,0.04%,,0.07%,,,,,,,,,0.00%,,0.07%,,,,
Arrowtooth juv,,,,,,,0.02%,,,,,,,,,,,,,,,,,
Flathead sole juv,,,,,,,,,0.00%,,,,,,,,,,,0.00%,,,,
Flathead sole,0.00%,,,,,,,,,,,,,,,,,,,,,,,
Eelpouts,1.85%,,,,,,0.03%,,1.85%,,,,,,,,,0.01%,,1.85%,,,,
Shortspine thornyhead 0.01%,,,,,,,,,,,,,,,,,,0.01%,,,,,,
Other Sebastes,,,,,,,,,,,,,,,,,,0.44%,,,,,,
Large sculpins,,,,,,,,,,,,,,,,,,0.38%,,,,,,
Other sculpins 0.00%,1.35%,,,,,,,,1.35%,,,,,,,,,0.75%,,1.35%,,,,
Misc. shallow fish,0.10%,,,,,,0.01%,,0.10%,,,,,,,,,0.21%,,0.10%,,,,
Octopus 0.11%,,,,,,,3.88%,,,,,,,,,,,4.34%,,,,16.18%,,
Squids 3.04%,,44.73%,50.00%,,10.00%,,11.11%,,,,50.00%,,50.00%,,9.49%,,,21.20%,,,,3.04%,,50.00%
Bathylagidae,,1.00%,,,,,1.79%,,,,,,,,,,,,,,,2.34%,,
Myctophidae 0.10%,,46.88%,,,,,0.11%,,,,,,,,,,,1.46%,,,,,,
Capelin,0.03%,,,,,,,,0.03%,,,,,,0.35%,,,0.08%,,0.03%,,,,
Sand lance,,,,,,,,,,,,,,,,,,0.03%,,,,,,
Eulachon,,,,,,,,,,,,,,,,,,0.31%,,,,,,
Managed forage,1.21%,,,,,,30.81%,,1.21%,,,,,,,,,0.00%,,1.21%,,,,
Tanner crab*,,,,,,,,,0.07%,,,,,,0.00%,,,0.84%,,,,,,
Snow crab*,,,,,,,,,9.33%,,,,,,,,,,,,,,,
Pandalid shrimp 0.01%,,,,,,,0.14%,,,,,,,,,,,4.57%,,,,11.50%,,
Non-Pandalid shrimp 1.66%,1.37%,,50.00%,,,,0.52%,,1.37%,,50.00%,,50.00%,,,,,0.74%,,1.37%,,66.94%,,50.00%
Sea star,,,,,,,0.05%,,,,,,,,,,,0.00%,,,,,,
Brittle star 0.00%,18.23%,,,,,,0.03%,,18.23%,,,,,,,,,0.00%,,18.23%,,,,
Urchins dollars and cucumbers,,,,,,,,,,,,,,,,,,0.00%,,,,,,
Snails 0.00%,,,,,,,,,,,,,,,,,,0.08%,,,,,,
Hermit crabs 0.00%,0.25%,,,,,,0.00%,,0.25%,,,,,,0.03%,,,1.33%,,0.25%,,,,
Misc crabs,9.89%,,,,,,,,0.49%,,,,,,0.98%,,,0.63%,,9.89%,,,,
Misc. Crustacean 0.00%,0.54%,,,,,,,,0.54%,,,,,,0.02%,,,0.01%,,0.54%,,,,
Benthic amphipods 3.48%,32.80%,1.70%,,,,,0.02%,,32.80%,,,,,,0.27%,,,2.42%,,32.80%,,,,
Benth. Hydroid,0.17%,,,,,,,,0.17%,,,,,,,,,,,0.17%,,,,
Benth. Urochordata 0.05%,,,,,15.00%,,,,,,,,,,16.54%,,,0.04%,,,,,,
Sea pens,,,,,,,,,,,,,,,,,,0.00%,,,,,,
Sponge,,,,,,,,,,,,,,,,,,0.00%,,,,,,
Bivalves,5.26%,,,,,,,,5.26%,,,,,,,,,0.00%,,5.26%,,,,
Polychates 5.30%,23.87%,,,,,,0.00%,,23.87%,,,,,,0.55%,,,0.97%,,23.87%,,0.00%,,
Misc. worm etc. 0.00%,2.37%,,,,,,,,2.37%,,,,,,,,,0.02%,,2.37%,,,,
Scyphozoid jellies 0.29%,,,,,,,1.56%,,,,,,,,,,,2.96%,,,,,,
Chaetognaths etc.,,,,,,,,,,,,,,,,,,0.00%,,,,,,
Euphausiids 99.90% 20.05%,0.02%,0.18%,,,50.00%,,0.03%,,0.02%,,,,,,46.68%,,,12.26%,,0.02%,,,,
Mysids 0.52%,0.01%,,,,,,,,0.01%,,,,,,,,,0.12%,,0.01%,,,,
Pelagic amphipods,0.11%,,,,,,0.01%,,0.11%,,,,,,1.54%,,,1.14%,,0.11%,,,,
Pel. gel. filter feeder 29.87%,,5.50%,,,,,,,,,,,,,,,,12.50%,,,,,,
Pteropods 29.69%,,,,,10.00%,,,,,,,,,,8.91%,,,0.02%,,,,,,
Copepods,,,,,15.00%,,,,,,,,,,14.38%,,,0.00%,,,,,,
Microzooplankton 0.10% 0.00%,0.07%,,,,,,,,0.07%,,,,,,,,,,,0.07%,,,,
Algae,,,,,,,,,,,,,,,,,,0.00%,,,,,,
Offal 0.52%,0.06%,,,,,,3.92%,,0.06%,,,,,,,,,5.24%,,0.06%,,,,
