"",GOA Other Shortraker GOAAI    AI Rougheye  Rougheye rockfish Shortspine AI,,AI O Sebastes,th er,,EBS Shortraker,,EBS Rougheye,,EBS Shortspine,,EBS Other,GOA Shortraker,,GOA,,GOA Shortspine thornyhead,,,Shortspine thornyhead,,,,
Prey,rockfish thornyhead,,,,,rockfish,,rockfish,,thornyhead,,Sebastes,rockfish,,rockfish,,juv,,,adu,,,,Sebastes
W. pollock juv,,,,4.96%,,,,,,,,,,,,,,,,0.01%,,,,14.53%
Arrowtooth juv,,,,,,,,,,,,,,,,,,,,,,,,
Eelpouts,0.00%,,,,,,,,,,,,,,,,1.76%,,,0.23%,,,,
Shortspine thornyhead juv,,,,,,,,,,,,,,,,,,,,0.35%,,,,
Atka mackerel,0.00% 0.00%,,,,,,,,,,,,,,,,,,,,,,,
Other sculpins,0.01% 4.29%,,,,,0.65%,,,,,,0.13%,,,,,,,,1.15%,,,,
Misc. shallow fish,0.17% 0.01%,,,,,,,0.14%,,0.02%,,0.03%,0.00%,,0.00%,,,,,0.04%,,,,
Octopus,0.00% 0.08%,,,,,,,,,,,,,,,,0.53%,,,1.46%,,,,
Squids,0.01% 0.08%,,,,,0.88%,,62 .01%,,,,13.13%,4.26%,,,,,,,0.08%,,,,
Bathylagidae,0.00%,,,,,,,,,,,,0.17%,,,,,,,,,,,
Myctophidae,0.26% 0.01%,,,,,0.28%,,0.15%,,,,0.09%,0.62%,,,,,,,0.08%,,,,
Capelin,,,,,,,,,,,,,,,,,,,,0.00%,,,,
Sand lance,,,,4.63%,,,,,,,,,,,,,,,,,,,,1.36%
Managed forage,,,,,,,,,,,,,,,,,,,,0.14%,,,,
Tanner crab*,,,,,,,,,,,,0.00%,,,0.00%,,,,,2.57%,,,,
King crab*,22.37%,,,,,,,,,,,,,,,,,,,0.00%,,,,
Pandalid shrimp,0.18% 99.44% 47.92%,,,,,83.02%,,0.08%,,0.19%,,16.66%,92.47%,,99.99%,,33.63%,,,38.28%,,,,
Non-Pandalid shrimp,99.47% 0.21% 4.62%,,,4.94%,,,,13.80%,,15.33%,,6.44%,2.39%,,0.01%,,8.09%,,,32.01%,,,,14.47%
Snails,,,,,,,,,,,,,,,,,,,,0.03%,,,,
Hermit crabs,,,,,,,,,,,,0.38%,,,0.00%,,,,,7.31%,,,,
Misc crabs,0.05% 0.01%,,,,,,,,,,,,,,,,,,,0.63%,,,,
Misc. Crustacean,0.00% 0.00% 0.55%,,28.13%,,,,,,,,,,,,0.00%,,,,,1.49%,,,,8.23%
Benthic amphipods,0.01% 0.02% 14.73%,,,8.00%,,,,1.43%,,36.18%,,8.45%,0.00%,,0.00%,,29.06%,,,5.51%,,,,0.23%
Benth. Urochordata,,,,4.66%,,,,,,,,,,,,,,,,,,,,1.04%
Bivalves,,,,,,,,,,,,,,,,,,,,0.00%,,,,
Polychates,0.00% 0.03% 0.00%,,,,,,,,,,,1.67%,,,,,2.37%,,,2.38%,,,,
Scyphozoid jellies,,,13.40%,,,,,,,,,,,,,,,,,,,,,7.85%
Chaetognaths etc.,,,,,,,,,,,,1.61%,,,0.00%,,0.00%,,,0.00%,,,,
Euphausiids,0.00% 0.02% 5.18%,,,5.34%,,2.00%,,19.38%,,,,18.76%,0.00%,,0.00%,,12.50%,,,0.03%,,,,15.62%
Mysids,0.00% 0.00% 0.23%,,,,,13.17%,,2.61%,,48.28%,,12.87%,0.07%,,0.00%,,11.95%,,,6.01%,,,,
Pelagic amphipods,,,,,,,,,,,,0.04%,0.01%,,0.00%,,,,,,,,,
Pel. gel. filter feeder,0.00%,,13.40%,,,,,,,,,,,,,,,,,0.03%,,,,
Pteropods,,,,,,,,,,,,0.08%,,,,,,,,0.14%,,,,
Copepods,0.00%,,12.53%,,,,,0.39%,,,,19.67%,,,,,0.11%,,,,,,,36.67%
Offal,,,,,,,,,,,,,,,,,,,,0.04%,,,,
