AI Atka GOA Prey mackerel Greenlings juv,,GOA Atka AI Atka mackerel mackerel Greenlings AI,,EBS Atka mackerel juv,,,EBS Atka mackerel,,EBS Greenlings,,juv,,,GOA Atka mackerel,,
W. pollock juv,,6.23%,,,,,,,4.73%,,,,,,,4.73%
Kamchatka juv,,0.00%,,,,,,,,,,,,,,
P. halibut juv,,0.00%,,,,,,,,,,,,0.01%,,
Misc. flatfish,,,,,,,,,2.97%,,,,,,,2.97%
Eelpouts,,0.20%,,,,,,,,,,,,,,
Misc. deep fish,,0.00%,,,,,,,,,,,,,,
Large sculpins,,,,,,,,,17.79%,,,,,,,17.79%
Other sculpins,,0.01%,,,,,,,15.01%,,,,,0.01%,,15.01%
Misc. shallow fish,,0.01%,,,,,,,,,,,,,,
Octopus,,0.07%,,,,,,,,,,,,,,
Squids,,10.44%,,,,,,,,,,,,,,
Bathylagidae,,0.01%,,,,,,,,,,,,,,
Myctophidae,,0.90%,,,,,,,,,,,,,,
Sand lance,,,,,,,,,,,,,,0.02%,,
Eulachon,,0.00%,,,,,,,,,,,,,,
Managed forage,,0.01%,,,,,,,,,,,,,,
Tanner crab*,,0.00%,,,,,0.63%,,,,,,,,,
Pandalid shrimp,,0.16%,,,,,,,,,,,,,,
Non-Pandalid shrimp,,0.32%,,,,,,,42.96%,,,,,0.00%,,42.96%
Brittle star,,0.00%,,,,,,,,,,,,,,
Snails,,1.08% 29.93%,,,,,,,0.00%,,,,,0.32%,,0.00%
Hermit crabs,,0.00%,,,,,,,,,,,,0.10%,,
Misc crabs,,0.14%,,,,,,,0.44%,,,,,0.26%,,0.44%
Misc. Crustacean,,0.04%,,,,,,,0.06%,,,,,0.00%,,0.06%
Benthic amphipods,,4.73% 58.85%,,,,,,,3.25%,,,,,0.12%,,3.25%
Benth. Hydroid,,0.00%,,,,,,,0.12%,,,,,,,0.12%
Benth. Urochordata,,0.01%,,,,,,,,,,,,,,
Sponge,,0.00%,,,,,,,,,,,,0.00%,,
Bivalves,,0.00% 0.60%,,,,,,,1.19%,,,,,0.01%,,1.19%
Polychates,,0.58% 2.40%,,,,,,,7.08%,,,,,0.01%,,7.08%
Misc. worm etc.,,0.01% 8.22%,,,,,,,,,,,,,,
Scyphozoid jellies,,0.05%,,,,,,,,,,,,0.03%,,
Fish larvae,,4.68%,,,,,,,,,,,,,,
Chaetognaths etc.,,0.71%,,,,,,,,,,,,,,
Euphausiids 100.00%,,24.26%,,90.00%,,,98.37%,,,,90.00%,,,84.78%,,
Mysids,,0.03%,,,,,,,4.33%,,,,,,,4.33%
Pelagic amphipods,,0.35%,,,,,,,0.07%,,,,,0.00%,,0.07%
Pel. gel. filter feeder,,5.36%,,,,,0.37%,,,,,,,2.18%,,
Pteropods,,0.55%,,,,,,,,,,,,0.70%,,
Copepods,,39.01%,,10.00%,,,0.63%,,,,10.00%,,,11.44%,,
Offal,,0.07%,,,,,,,,,,,,,,
