"",,,AI Misc.,EBS,EBS EBS Misc.,GOA,GOA,GOA
Prey,,,,,,,,
"",AI Large,AI Other,,,,,,
"",,,shallow,Large,Other shallow,Large,Other,
"",,,,,,,,Misc.
"",sculpins,sculpins,,,,,,
"",,,fish,sculpins,sculpins  fish,sculpins,sculpins,shallow
"",,,,,,,,fish
W. pollock juv,2.43%,,,9.53%,,9.53%,,
W. pollock,0.01%,,,3.45%,,3.45%,,
P. cod juv,,,,0.00%,4.03%,0.00%,4.03%,
P. cod,,,,0.09%,,0.09%,,
Herring juv,,,,0.47%,,0.47%,,
Herring,,,,0.20%,,0.20%,,
Arrowtooth fl.,,,,0.01%,,0.04%,,
Kamchatka fl.,,,,0.03%,,,,
P. halibut juv,,,,0.00%,,0.00%,,
Yellowfin sole juv,,,,2.16%,0.97%,2.61%,,
Yellowfin sole,,,,0.45%,,,,
Flathead sole juv,,,,0.02%,0.74%,0.02%,0.97%,
Flathead sole,,,,0.18%,,0.18%,,
N. rock sole juv,,,,0.74%,,0.48%,,
N. rock sole,,,,0.23%,,,,
S. rock sole,,,,,,0.48%,,
Alaska plaice,,,,0.12%,,0.12%,,
Dover sole,,,,,,,,0.08%
Misc. flatfish,,,,0.10%,,0.10%,,
Eelpouts,,,,3.33%,,3.33%,,
Misc. deep fish,,,,,,,,
Atka mackerel,22.61%,,,0.00%,,0.00%,,
Large sculpins,,,,0.18%,,0.18%,,
Other sculpins,0.39%,,,2.11%,,2.11%,,
Misc. shallow fish,10.73%,,,1.90%,4.99%,1.90%,4.99%,
Octopus,0.66%,,0.58%,1.44%,,1.44%,,
Squids,0.18%,1.08%,,0.01%,,0.01%,,
Myctophidae,0.25%,0.72%,,,,,,
Capelin,,,,1.23%,,1.23%,,
Sand lance,,,,0.94%,,0.94%,,
Eulachon,,,,0.00%,,0.00%,,
Managed forage,,,,5.76%,,5.76%,,
Oth pel. smelt,,,,0.03%,,0.03%,,
Tanner crab*,9.20%,,,0.47%,3.54%,4.41%,3.54%,
Tanner crab adu,,,,0.07%,,,,
King crab*,0.29%,,,1.75%,,1.75%,,
Snow crab*,,,,3.00%,,,,
Snow crab adu,,,,0.86%,,,,
Pandalid shrimp,,10.32%,6.57%,0.75%,4.20% 1.87%,0.75%,4.20%,2.57%
Non-Pandalid shrimp,0.41%,0.77%,3.06%,18.98%,50.14% 20.67%,18.98%,50.14%,3.58%
Sea star,9.47%,0.61%,,0.01%,,0.01%,,
Brittle star,2.65%,2.59%,,0.01%,0.02%,0.01%,0.02%,
Urchins dollars and cucumbers,0.17%,,,0.00%,,0.00%,,
Snails,1.15%,0.53%,,0.14%,,0.14%,,
Hermit crabs,,,,1.92%,0.05%,1.92%,,
Misc crabs,29.99%,,,1.95%,1.92%,1.95%,1.92%,
Misc. Crustacean,0.00%,0.67%,0.28%,0.08%,1.44% 0.00%,0.08%,1.44%,
Benthic amphipods,0.03%,26.66%,17.49%,5.96%,19.47% 9.18%,5.96%,19.47%,0.36%
Benth. Hydroid,,,,0.00%,3.70%,0.00%,3.70%,
Benth. Urochordata,0.01%,,,,,,,
Bivalves,,,,0.04%,,0.04%,,
Polychates,2.36%,33.40%,0.88%,10.98%,2.55% 0.00%,10.98%,2.55%,
Misc. worm etc.,0.84%,0.24%,,1.92%,,1.92%,,
Scyphozoid jellies,,,0.14%,0.00%,6.43%,0.00%,,0.00%
Chaetognaths etc.,,0.03%,,,,,,
Euphausiids,1.42%,7.37%,0.11%,0.96%,1.16%,0.96%,,
Mysids,,11.21%,0.03%,7.60%,0.31% 3.46%,7.60%,0.31%,0.16%
Pelagic amphipods,0.00%,,0.38%,4.57%,0.83% 1.40%,4.57%,0.83%,
Pel. gel. filter feeder,,3.73%,70.43%,2.48%,55.00%,2.48%,,92.97%
Pteropods,,,,0.00%,,0.00%,,
Copepods,0.00%,0.07%,0.07%,0.00%,1.87% 0.03%,0.00%,1.87%,0.28%
Offal,4.74%,,,0.80%,,0.80%,,
