"",,,,,,,,,,,,,,,,
"",GOA Prey All Squids,All Salmon,,All Salmon,,All All All,All Sand,All,Managed,,All Oth,AI,AI,EBS,EBS/GOA,
"",,returning,,outgoing,,,,,,,,,,,,
"",,,,,,Bathylagidae Capelin,lance,Eulachon,,,,,,,,
"",,,,,,,,,forage,,,,,,,
"",,,,,,,,,,,pel. smelt,Octopus,Myctophidae,Octopus,Myctophidae,Octopus
Squids,,20.00%,,,,,,,,,,,,,,
Myctophidae,2.50%,,,,,,,,,,,,0.47%,,,
Capelin,2.50%,,,,,,,,,,,,,,,
Sand lance,2.50%,,,,,,,,,,,,,,,
Eulachon,2.50%,,,,,,,,,,,,,,,
Managed forage,2.50%,,,,,,,,,,,,,,,
Oth pel. smelt,2 .50%,,,,,,,,,,,,,,,
Tanner crab*,,,,,,,,,,,,,,5.00%,,
Snow crab*,,,,,,,,,,,,,,5.00%,,
Snails,,,,,,,,,,,,,,40.00%,,40.00%
Hermit crabs,,,,,,,,,,,,40.00%,,10.00%,,10.00%
Misc crabs,,,,,,,,,,,,20.00%,,,,10.00%
Misc. Crustacean,,,,,,,,,,,,,1.72%,,,
Benthic amphipods,,,,,,,,,,,,,3.93%,,,
Bivalves,,,,,,,,,,,,40.00%,,40.00%,,40.00%
Chaetognaths etc.,2.50%,20.00%,,,,,,,,,,,2.75%,,,
Euphausiids,42.00%,20.00%,,25.00%,,90.00% 90.00%,90.00%,90.00%,90.00%,,90.00%,,76.55%,,90.00%,
Mysids,2.50%,,,,,,,,,,,,2.92%,,,
Pelagic amphipods,14.00%,,,25.00%,,,,,,,,,0.01%,,,
Pel. gel. filter feeder,4.00%,,,,,,,,,,,,,,,
Pteropods,,20.00%,,,,,,,,,,,,,,
Copepods,20.00%,20.00%,,50.00%,,10.00% 10.00%,10.00%,10.00%,10.00%,,10.00%,,11.64%,,10.00%,
