"",,,,,,,,,,,,,
"",AI,,,,,,,,,,,,
"",AI King,AI Snow,,,,,,,,,,,
"",,,EBS,,EBS,EBS,EBS,EBS,EBS,GOA,,,
"",,,,,,,,,,,GOA King,,
"",,,,,,,,,,,,GOA,All
Prey,Tanner,,,,,,,,,,,,
"",crab,crab,,,,,,,,,,,
"",,,Tanner,,Tanner,King,King,Snow,Snow,Tanner,,,
"",,,,,,,,,,,crab,,
"",,,,,,,,,,,,Snow,Pandalid
"",crab,,crab juv,,crab adu,crab juv,crab adu,crab juv,crab adu,crab,,crab,shrimp
Sea star,0.80%,,,,,,0.82%,0.30%,,,0.80%,,
Brittle star,3.31% 3.50%,8.03%,20.11%,,3.31%,,3.56%,3.76%,8.03%,4.00%,3.50%,4.00%,
Urchins dollars and cucumbers,2.09% 22.20%,0.69%,,,2.09%,34.79%,11.24%,0.93%,0.69%,2.00%,22.20%,2.00%,
Snails,3.91% 20.00%,5.90%,3.40%,,3.91%,14.99%,21.19%,0.62%,5.90%,3.00%,20.00%,3.00%,
Hermit crabs,1.53% 2.00%,3.65%,0.99%,,1.53%,,2.11%,0.46%,3.65%,1.00%,2.00%,1.00%,
Misc crabs,1.53% 2.00%,3.65%,0.99%,,1.53%,,2.11%,0.46%,3.65%,1.00%,2.00%,1.00%,
Misc. Crustacean,0.68% 2.00%,1.93%,,,0.68%,,1.96%,0.92%,1.93%,0.50%,2.00%,0.50%,
Benthic amphipods,5.40% 2.00%,4.28%,,,5.40%,2.28%,0.54%,6.77%,4.28%,2.00%,1.20%,2.00%,30.00%
Anemones,,0.08%,,,,,,,0.23%,,,,
Corals,,0.08%,,,,,,,,,,,
Benth. Hydroid,0.52% 5.00%,0.71%,2.67%,,0.52%,2.28%,5.26%,0.30%,0.71%,1.00%,5.00%,1.00%,
Benth. Urochordata,0.50%,,,,,2.28%,0.54%,,,,0.50%,,
Sea pens,,0.08%,,,,,,,,,,,
Sponge,,0.25%,0.63%,,,,,0.30%,0.25%,,,,
Bivalves,27.03% 20.00%,28.31%,39.65%,,27.03%,19.81%,17.99%,13.19%,28.31%,30.00%,18.00%,30.00%,10.00%
Polychates,47.95% 15.00%,29.34%,15.46%,,47.95%,11.04%,21.19%,25.05%,29.34%,49.00%,15.00%,49.00%,
Misc. worm etc.,5.00%,2.24%,,,,7.71%,1.07%,3.00%,2.24%,,2.00%,,
Euphausiids,,,,,,,,0.30%,,,,,20.00%
Mysids,,0.52%,,,,,,,0.52%,,,,
Benthic bacteria,,,,,,,,,,,,,
Algae,,0.48%,,,,,3.23%,0.30%,0.48%,,,,
Discards,0.89%,0.62%,,,0.89%,,0.41%,0.46%,0.62%,0.80 %,0.40%,0.80%,
Offal,0.89%,0.62%,,,0.89%,,0.41%,0.46%,0.62%,0.70%,0.40%,0.70%,
Benth detritus,4.28%,8.54%,16.11%,,4.28%,4.82%,6.37%,42.43%,8.54%,5.00%,5.00%,5.00%,40.00%
