Benthic Prey Scyphozoid,Chaetognaths,Pelagic,Pel. gel.,Micro-,
jellies,,,,,
"",Fish larvae,,,,
"",etc.,,,,
"",,Euphausiids Mysids,,,
"",,amphipods,filter feeder,,
"",,,,Pteropods Copepods,
"",,,,zooplankton,bacteria
"",,,,,
W. pollock juv 0.10%,,,,,
Herring juv 0.10%,,,,,
Squids 0.10%,,,,,
Bathylagidae 0.10%,,,,,
Myctophidae 0.10%,,,,,
Capelin 0.10%,,,,,
Sand lance 0.10%,,,,,
Eulachon 0.10%,,,,,
Managed forage 0.10%,,,,,
Oth pel. smelt 0.10%,,,,,
Fish larvae 5.00%,,,,,
Euphausiids 64.00%,5.00%,,,,
Mysids,5.00%,,,,
Pelagic amphipods,5.00%,,,,
Pel. gel. filter feeder 5.00%,5.00%,,,,
Pteropods,5.00%,,,,
Copepods 15.00%,25.00% 25.00%,25.00% 25.00% 25.00%,25.00%,25.00%,
Microzooplankton 5.00%,15.00% 15.00%,15.00% 15.00% 15.00%,15.00%,15.00% 50.00%,
Large phytoplankton 5.00%,50.00% 25.00%,50.00% 50.00% 50.00%,50.00%,50.00% 25.00%,
Small phytoplankton,10.00% 10.00%,10.00% 10.00% 10.00%,10.00%,10.00% 25.00% 70.00%,
Pelagic detritus,,,,30.00%,
Benth detritus,,,,,100.00%
