Walrus/bearded,,,,,,,,,,,,,,,
seal prey,%,EBS N. fur seal  prey,,%,GOA N. fur seal  prey,%,EBS/AI resident seals prey,,%,GOA resident  seals prey,%,,Wintering seals prey,,%
Bivalves,70.15,W. pollock juv,,30.0,Capelin,38.0,Pandalid shrimp Non-pand. shr.,,15.0P,W. pollock W. pollock juv,42.6P,,W. pollock W. pollock juv,,49.6P
Misc. worm etc.,18.0,Squid,,30.0,Sand lance,34.0,W. pollock W. pollock juv,,14.3P,Herring Herring juv,32.4P,,Misc. shallow fish,,10.0
Snails,6.0,Capelin,,15.3,W. pollock W. pollock juv*,8.5P,Misc. shallow fish Octopus,,13.5 10.0,Misc. shallow fish,9.7,,Capelin,,8.6
Pandalid shrimp,,Yellowfin so. juv,,,Squid,6.5,Yellowfin so. juv,,,Salmon returning,4.0,,Other sculpins,,8.0
Non-pand. shrimp,2.0P,Flathead sole juv,,,,,Flathead sole juv,,,Eelpouts,,,Eelpouts,,6.1
"",,N rock sole juv,,,P. cod,,N rock sole juv,,,Atka mackerel,,,,,
Octopus,1.0,AK plaice,,8.0P,P. cod juv*,,AK plaice,,8.0P,Atka mack juv,2.7P,,Pandalid shrimp,,5.5P
"",,Dover sole,,,Arrowtooth,,Dover sole,,,Greenlings,,,Non-pand. shrimp,,
"",,Rex sole,,,Arrowtooth juv*,,Rex sole,,,,,,,,
Tanner crab King crab,,Misc. flatfish,,,Halibut Halibut juv*,,Misc. flatfish,,,Octopus Squid,2.1P,,Herring juv,,4.5
Snow crab Hermit crab,1.0P,Herring juv,,6.0,Yellowfin sole Flathead sole,,Capelin,,5.5,P. cod P. cod juv,1.6P,,Yellowfin so. juv Flathead sole juv,,
Misc. crab,,Myctophidae,,4.0,Flathead sole juv*,,Other sculpins,,5.0,Large sculpins Other sculpins,1.2P,,N rock sole juv,,
"",,,,,N rock sole,,,,,,,,AK plaice,,4.0P
Wintering seals,0.10,Salmon returning,,1.0,S rock sole,,Eelpouts,,5.0,Arrowtooth,,,Dover sole,,
"",,,,,,,,,,Arrowtooth juv,,,Rex sole,,
"",,Salmon outgoing,,1.0,AK plaice Dover sole,,P. cod juv,,4.0,Halibut,,,Misc. flatfish,,
"",,Sand lance,,1.0,Rex sole,,Herring juv,,2.5,Halibut juv,,,,,
"",,,,,Misc. flatfish,,,,,Yellowfin sole,,,Misc. worm etc.,,2.65
"",,P. cod juv,,0.70,Sablefish,5.5P,Squid,,2.5,Flathead sole,,,Octopus,,1.0
"",,Sablefish juv,,0.50,Sablefish juv Eelpouts,,Atka mackerel,,1.0 4.01,Flathead sole juv N rock sole,1 .2P,,Hermit crab Misc. crab,,1.0P
"",,Atka mackerel,,0.50,Atka mackerel,,Tanner crab,,,S rock sole,,,P. cod juv,,0.5
"",,,,,Atka mack juv*,,King crab,,,AK plaice,,,,,
"",,Other sculpins,,0.10,Greenlings,,Snow crab,,1.0P,Dover sole,,,Squid,,0.05
"",,Octopus,,0.10,Large sculpins  Other sculpins,,Hermit crab Misc. crab,,,Rex sole Misc. flatfish,,,,,
"",,Pacific o. perch,,,Misc. shallow fish,,Pacific o. perch,,,,,,,,
"",,Sharpchin rf.,,,Salmon outgoing,,Sharpchin rf.,,,Pacific o. perch,,,,,
"",,Northern rockfish,,,Bathylagidae,,Northern rockfish,,,Sharpchin rf.,,,,,
"",,Dusky rockfish,,,Myctophidae,,Dusky rockfish,,,Northern rockfish,,,,,
"",,Shortraker rf.,,0.1P,Eulachon,,Shortraker rf.,,0.4P,Dusky rockfish,1.1P,,,,
"",,Rougheye rf.,,,Managed forage,,Rougheye rf.,,,Shortraker rf.,,,,,
"",,Sh. thornyhead,,,Oth. Pelagic smelt,,Sh. thornyhead,,,Rougheye rf.,,,,,
"",,Other Sebastes,,,,,Other Sebastes,,,Other Sebastes,,,,,
