Transient killer whale prey,,%,Sperm/beaked  whale prey,%,Resident killer  whale prey,,%,AI Porpoise prey,,%,EBS porpoise prey,%,GOA propoise prey,%
Porpoises,,,Squid,85.0,W. pollock,,,Squid,,90.0,Squid,50.0,Squid,69.3
Belugas,,,,,W. pollock juv,,,,,,,,,
Gray whales,,,Sleeper sharks,,P. cod,,,Bathylagidae,,,Other sculpins,,Bathylagidae,
Humpback,,,P. cod,,P. cod juv,,,Myctophidae,,,Misc shallow fish,,Myctophidae,
whales,,,Alaska skate,,Herring,,,Capelin,,,Salmon returning,,Capelin,
Fin whales,,,Bering skate,,Herring juv,,,Sandlance,,10.0P,Salmon outgoing,,Sand lance,18.5P
Sei whales,,,Aleutian skate,,Arrowtooth,,,Eulachon,,,Bathylagidae,,Eulachon,
Right whales,,,Whiteblotched skate,,Arrowtooth juv,,,Managed Forage,,,Myctophidae,50P,Managed Forage,
Minke whales,,100P,Mud skate,,Kamchatka,,,Oth pel. smelt,,,Capelin,,Oth pel. smelt,
Bowhead whales,,,Sablefish,,Kamchatka juv,,,,,,Sand lance,,,
Sea otters,,,Sablefish juv,,Gr. turbot,,,,,,Eulachon,,Eelpouts,
N. fur seal,,,Eelpouts,,Gr. turbot juv,,,,,,Managed Forage,,Other sculpins,12.2P
N. fur seal juv,,,Giant grenadier,15.0P,P. Halibut,,,,,,Oth pel. smelt,,Misc. shallow fish,
Steller sea lion,,,Pacific grenadier,,P. Halibut juv,,,,,,,,,
Steller sea lion,,,Other Macrourids,,Yellowfin sole,,,,,,,,,
juv,,,Misc. deep fish,,Yellowfin so. juv,,,,,,,,,
Resident seals,,,Pacific o. perch,,Flathead sole,,,,,,,,,
"",,,Sharpchin rf.,,Flathead sold juv,,100P,,,,,,,
"",,,Northern rockfish,,N. rock sole,,,,,,,,,
"",,,Dusky rockfish,,S. rock sole,,,,,,,,,
"",,,Shortraker rf.,,Alaska plaice,,,,,,,,,
"",,,Sh. thornyhead Rougheye rf.,,Dover sole Rex sole,,,,,,,,,
"",,,Other Sebastes,,Misc. flatfish,,,,,,,,,
"",,,,,Squid,,,,,,,,,
"",,,,,Salmon returning,,,,,,,,,
"",,,,,Salmon outgoing,,,,,,,,,
"",,,,,Bathylagidae,,,,,,,,,
"",,,,,Myctophidae,,,,,,,,,
"",,,,,Capelin,,,,,,,,,
"",,,,,Sand lance,,,,,,,,,
"",,,,,Eulachon,,,,,,,,,
"",,,,,Managed forage,,,,,,,,,
"",,,,,Oth pel. smelt,,,,,,,,,
