Grey whale,,Humpback,,Fin whale,,,,,,,,,,,,,
prey,%,whale prey,%,prey,%,Sei whale  prey,,%,Right whale  prey,,%,Minke whale  prey,,%,Bowhead whale  prey,,%
Benthic,,Chaetognaths,,Chaetognaths,,,,,,,,W. pollock,,,Chaetognaths,,
amphipods,90.0,Euphausiids Mysids,59.9,Euphausiids Mysids,60.0,Copepods,,80.0,Copepods,,95.0,juv Herring juv,,,Euphausiids,,
"",,Pel.,P,Pel.,P,,,,,,,Salmon,,,Mysids,,55.0 P
"",,amphipods,,amphipods,,W. pollock,,,,,,returning,,,Pel. amphipods,,
Tanner crab,,Pteropods,,Pteropods,,juv,,,,,,Salmon,,,Pteropods,,
King crab,,,,,,,,,,,,,,,,,
"",,,,,,Herring juv,,,,,,outgoing,,56.0,,,
Snow crab,,,,,,,,,,,,,,,,,
"",,,,,,Salmon,,,,,,Capelin,,P,Copepods,,40.0
Pandalid shrimp,,,,,,,,,,,,,,,,,
"",,,,,,returning,,,Chaetognaths  Euphausiids,,,Sand lance,,,Tanner crab,,
Non-pand. shrimp,,W. pollock juv,,Copepods,20.0,Salmon outgoing,,10.0,Mysids,,5.0,Eulachon,,,Tanner crab juv,,
Sea star,,Herring juv,,,,Capelin,,P,Pel.,,P,Managed,,,King crab,,
Brittle star,,Atka mack juv,,,,,,,amphipods,,,Forage,,,King crab juv,,
Urchins dollars,,Misc. shallow,,,,Sand lance,,,,,,Oth pel. smelt,,,,,
and cucumbers,,fish,,W. pollock juv,,Eulachon Managed,,,Pteropods,,,,,,Snow crab Snow crab juv,,
Snails,,Salmon,,Herring juv,,,,,,,,,,,,,
Hermit crabs Misc. crabs,10.0,returning Salmon,39.9 P,Misc. shallowfish,,Forage Oth pel. smelt,,,,,,Chaetognaths  Euphausiids Mysids,,40.0,Pandalid shrimp Non Pand. shrimp Sea star,,
Misc. Crustacean,P,outgoing,,Salmon,,,,,,,,Pel.,,P,Brittle star,,
Anemones,,Capelin,,returning,,,,,,,,,,,,,
Corals Benth. Hydroid,,Sand lance Eulachon,,Salmon outgoing,20.0 P,Chaetognaths  Euphausiids,,,,,,amphipods Pteropods,,,Urchins dollars and cucumbers,,
Benth.,,Managed,,Capelin,,Mysids,,5.0,,,,,,,Snails,,
Urochordata,,Forage,,Sand lance,,Pel.,,P,,,,,,,Hermit crabs,,
Sea Pens,,Oth pel. smelt,,Eulachon,,amphipods,,,,,,Squid,,2.0,Misc. crabs,,
Sponge,,,,Managed,,Pteropods,,,,,,,,,Misc. Crustacean Benth. amphipods,,
Bivalves,,,,Forage,,,,,,,,Copepods,,2.0,Anemones,,
Polychaete,,,,Oth pel. smelt,,,,,,,,,,,Corals,,
Misc. Worm. Etc.,,Squid,0.5,,,Squid,,5.0,,,,,,,Benth. Hydroid,,
"",,,,,,,,,,,,,,,Benth.,,
"",,Copepods,0.5,,,,,,,,,,,,Urochordata,,
"",,,,,,,,,,,,,,,Sea pens,,
"",,,,,,,,,,,,,,,Sponge,,
"",,,,,,,,,,,,,,,Bivalves,,
"",,,,,,,,,,,,,,,Polychaete,,
"",,,,,,,,,,,,,,,Misc. Worm. Etc.,,
