EBS sleeper shark prey,,%,GOA/AI sleeper shark prey,,%,Salmon shark prey,%,Dogfish prey,%
"",,,,,,,,Pel. gel. filter feeder,2.3
"",,,,,,,,Dogfish,
"",,,,,,,,Alaska skate,
"",,,,,,,,Bering skate,
"",,,,,,,,Aleutian skate,
"",,,,,,,,Whiteblotched skate,2.0P
"",,,,,,,,Mud skate,
"",,,,,,,,Longnose skate,
"",,,,,,,,Big skate,
"",,,,,,,,Squids,1.8
"",,,,,,,,Misc. worm etc.,1.2
"",,,,,,,,Scyphozoid jellies,1.2
"",,,,,,,,Sand lance,1.1
"",,,,,,,,Benthic amphipods,0.6
"",,,,,,,,Urchins dollars and,
"",,,,,,,,cucumbers,0.3
"",,,,,,,,Misc. Crustacean,0.1
